date,CRO_adj_close,CRO_mktvalue,CRO_cashflow,CRO_cml_units,CRO_cml_cost,CRO_gain_loss,CRO_avg_price,ADA_adj_close,ADA_mktvalue,ADA_cashflow,ADA_cml_units,ADA_cml_cost,ADA_gain_loss,ADA_avg_price,BTC_adj_close,BTC_mktvalue,BTC_cashflow,BTC_cml_units,BTC_cml_cost,BTC_gain_loss,BTC_avg_price,ONE_adj_close,ONE_mktvalue,ONE_cashflow,ONE_cml_units,ONE_cml_cost,ONE_gain_loss,ONE_avg_price,VET_adj_close,VET_mktvalue,VET_cashflow,VET_cml_units,VET_cml_cost,VET_gain_loss,VET_avg_price,USDC_adj_close,USDC_mktvalue,USDC_cashflow,USDC_cml_units,USDC_cml_cost,USDC_gain_loss,USDC_avg_price,DOGE_adj_close,DOGE_mktvalue,DOGE_cashflow,DOGE_cml_units,DOGE_cml_cost,DOGE_gain_loss,DOGE_avg_price,AUDIO_adj_close,AUDIO_mktvalue,AUDIO_cashflow,AUDIO_cml_units,AUDIO_cml_cost,AUDIO_gain_loss,AUDIO_avg_price
2021-03-04 04:08:23,-,-,-6134.0,400.0,12458.0,0.0,31.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-04 04:16:36,,,,,,,,-,-,-12159.0,300.0,29300.6,0.0,97.669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-07 22:53:35,,,,,,,,,,,,,,,-,-,-0.27,0.0023,0.27,0.0,117.391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-07 22:55:32,,,,,,,,-,-,-13185.3,200.0,17141.6,0.0,85.708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-07 22:56:38,-,-,-12458.0,200.0,6324.0,0.0,31.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-10 02:30:23,-,-,-38306.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-12 08:18:55,,,,,,,,-,-,-18567.6,170.0,16115.3,0.0,94.796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-12 17:30:42,,,,,,,,-,-,-29300.6,100.0,10733.0,0.0,107.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-13 01:22:38,,,,,,,,-,-,-32553.94,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-13 01:26:39,,,,,,,,,,,,,,,,,,,,,,-,-,-18975.2,3288.0,107141.05,0.0,32.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,
