sector,ticker,current_value,cml_cost,gain_loss,weight
mineable,2,54.18,0.27,0.0,82.81
logistics,1,31.41,43497.25,1317.82,48.01
platform,1,24.22,19180.0,0.0,37.02
dpos,1,0.0,0.0,0.0,0.0
music,1,0.0,0.0,-1250.0,0.0
medium-of-exchange,2,-44.38,-1969.91,0.0,-67.83
