ticker,sector,cml_units,cml_cost,gain_loss,cashflow,price,current_value,avg_price,portf_weight,unrealizedval,unrealizedpct
ADA,dpos,0.0,0.0,0.0,-32553.94,0.4,0.0,,0.0,0.0,
AUDIO,music,0.0,0.0,-1250.0,-7314.84,0.28,0.0,,0.0,0.0,
BTC,mineable,0.0,0.27,0.0,-0.27,23478.67,54.0,117.39,83.1,53.73,19900.35
CRO,medium-of-exchange,0.0,0.0,0.0,-38306.0,0.08,0.0,,0.0,0.0,
DOGE,mineable,0.0,0.0,0.0,-22143.95,0.09,0.0,,0.0,0.0,
ONE,platform,1000.0,19180.0,0.0,-107141.05,0.02,24.06,19.18,37.02,-19155.94,-99.87
USDC,medium-of-exchange,-44.38,-1969.91,0.0,1969.91,1.0,-44.38,44.38,-68.3,1925.53,-97.75
VET,logistics,1285.0,43497.25,1317.82,-872173.51,0.02,31.31,33.85,48.18,-43465.94,-99.93
