ticker,sector,cml_units,cml_cost,gain_loss,cashflow,price,current_value,avg_price,portf_weight,unrealizedval,unrealizedpct
ADA,dpos,0.0,0.0,0.0,-32553.94,0.4,0.0,,0.0,0.0,
AUDIO,music,0.0,0.0,-1250.0,-7314.84,0.29,0.0,,0.0,0.0,
BTC,mineable,0.0,0.27,0.0,-0.27,23388.59,53.79,117.39,77.35,53.52,19823.61
CRO,medium-of-exchange,0.0,0.0,0.0,-38306.0,0.08,0.0,,0.0,0.0,
DOGE,mineable,0.0,0.0,0.0,-22143.95,0.09,0.0,,0.0,0.0,
ONE,platform,1000.0,19180.0,0.0,-107141.05,0.03,28.54,19.18,41.03,-19151.46,-99.85
USDC,medium-of-exchange,-44.38,-1969.91,0.0,1969.91,1.0,-44.39,44.38,-63.82,1925.52,-97.75
VET,logistics,1285.0,43497.25,1317.82,-872173.51,0.02,31.6,33.85,45.44,-43465.65,-99.93
