ticker,sector,cml_units,cml_cost,gain_loss,cashflow,price,current_value,avg_price,portf_weight,unrealizedval,unrealizedpct
ADA,dpos,0.0,0.0,0.0,-32553.94,0.4,0.0,,0.0,0.0,
AUDIO,music,0.0,0.0,-1250.0,-7314.84,0.28,0.0,,0.0,0.0,
BTC,mineable,0.0,0.27,0.0,-0.27,23561.65,54.19,117.39,82.86,53.92,19971.03
CRO,medium-of-exchange,0.0,0.0,0.0,-38306.0,0.08,0.0,,0.0,0.0,
DOGE,mineable,0.0,0.0,0.0,-22143.95,0.09,0.0,,0.0,0.0,
ONE,platform,1000.0,19180.0,0.0,-107141.05,0.02,24.18,19.18,36.97,-19155.82,-99.87
USDC,medium-of-exchange,-44.38,-1969.91,0.0,1969.91,1.0,-44.38,44.38,-67.87,1925.53,-97.75
VET,logistics,1285.0,43497.25,1317.82,-872173.51,0.02,31.41,33.85,48.03,-43465.84,-99.93
