ticker,sector,cml_units,cml_cost,gain_loss,cashflow,price,current_value,avg_price,portf_weight,unrealizedval,unrealizedpct
ADA,dpos,0.0,0.0,0.0,-32553.94,0.4,0.0,,0.0,0.0,
AUDIO,music,0.0,0.0,-1250.0,-7314.84,0.28,0.0,,0.0,0.0,
BTC,mineable,0.0,0.27,0.0,-0.27,23547.83,54.16,117.39,82.8,53.89,19959.26
CRO,medium-of-exchange,0.0,0.0,0.0,-38306.0,0.08,0.0,,0.0,0.0,
DOGE,mineable,0.0,0.0,0.0,-22143.95,0.09,0.0,,0.0,0.0,
ONE,platform,1000.0,19180.0,0.0,-107141.05,0.02,24.24,19.18,37.06,-19155.76,-99.87
USDC,medium-of-exchange,-44.38,-1969.91,0.0,1969.91,1.0,-44.38,44.38,-67.86,1925.53,-97.75
VET,logistics,1285.0,43497.25,1317.82,-872173.51,0.02,31.39,33.85,48.0,-43465.86,-99.93
